,Continent,Year,animal_protein,plant_based_protein
8156,North America,1985,55.880886,40.395
8157,North America,1986,55.973465,39.59525
8158,North America,1987,56.312065,40.62331
8159,North America,1988,55.685135,41.12483
8160,North America,1989,55.209656,40.63835
8161,North America,1990,55.06925,41.33414
8162,North America,1991,54.901043,42.409363
8163,North America,1992,55.579144,41.671356
8164,North America,1993,55.47233,41.77145
8165,North America,1994,56.38294,42.73337
8166,North America,1995,55.921387,41.8747
8167,North America,1996,55.15508,42.658646
8168,North America,1997,55.329124,43.264965
8169,North America,1998,56.45995,43.016083
8170,North America,1999,57.825058,43.43847
8171,North America,2000,57.89044,43.53979
8172,North America,2001,57.895447,43.02693
8173,North America,2002,59.231968,42.72942
8174,North America,2003,58.78952,43.01539
8175,North America,2004,59.14686,43.10222
8176,North America,2005,59.196342,42.713993
8177,North America,2006,59.30843,42.756783
8178,North America,2007,59.312115,43.182854
8179,North America,2008,58.596657,42.782337
8180,North America,2009,57.64783,42.199245
8181,North America,2010,57.327915,41.95404
8182,North America,2011,56.408344,41.62361
8183,North America,2012,56.3708,42.337708
8184,North America,2013,56.597427,42.20526
8185,North America,2014,56.773777,41.90127
8186,North America,2015,57.358273,41.67257
8187,North America,2016,58.087624,42.125725
8188,North America,2017,58.48727,42.24443
8189,North America,2018,60.013435,42.29343
8190,North America,2019,60.77793,42.30235
8191,North America,2020,60.87486,43.390972
10011,South America,1961,26.075285,36.192966
10012,South America,1962,26.31463,35.99725
10013,South America,1963,26.26763,36.17087
10014,South America,1964,25.317171,37.367115
10015,South America,1965,25.601334,37.890003
10016,South America,1966,26.271244,37.10378
10017,South America,1967,26.158627,38.189304
10018,South America,1968,27.135841,38.134
10019,South America,1969,27.391323,37.32332
10020,South America,1970,27.17392,37.09485
10021,South America,1971,25.683231,38.239006
10022,South America,1972,25.505095,36.772076
10023,South America,1973,26.23555,35.66059
10024,South America,1974,27.220278,36.073475
10025,South America,1975,28.350752,35.849964
10026,South America,1976,28.756853,35.47247
10027,South America,1977,28.824747,35.549797
10028,South America,1978,29.33603,35.334927
10029,South America,1979,30.06001,36.158245
10030,South America,1980,30.967136,36.020447
10031,South America,1981,30.362387,36.181698
10032,South America,1982,29.14183,36.536793
10033,South America,1983,28.283974,35.999363
10034,South America,1984,28.72082,36.108223
10035,South America,1985,29.256004,35.956524
10036,South America,1986,30.73998,34.723343
10037,South America,1987,30.937717,35.22217
10038,South America,1988,30.342855,35.18577
10039,South America,1989,31.068237,34.564053
10040,South America,1990,30.825293,34.047104
10041,South America,1991,32.011265,35.10721
10042,South America,1992,32.449455,35.55346
10043,South America,1993,33.26724,35.9312
10044,South America,1994,34.575302,36.63022
10045,South America,1995,37.15992,35.356823
10046,South America,1996,37.760845,37.31091
10047,South America,1997,38.058914,36.396
10048,South America,1998,37.844944,36.52883
10049,South America,1999,38.8251,36.92638
10050,South America,2000,39.403957,36.88896
10051,South America,2001,38.820538,37.6607
10052,South America,2002,38.44494,37.227768
10053,South America,2003,38.4754,39.210907
10054,South America,2004,38.862843,38.24419
10055,South America,2005,38.68671,38.862247
10056,South America,2006,40.326317,38.702797
10057,South America,2007,41.273396,38.85988
10058,South America,2008,43.402386,39.218616
10059,South America,2009,43.09911,38.94777
10060,South America,2010,44.506474,40.212345
10061,South America,2011,45.890488,39.684235
10062,South America,2012,46.48141,38.80902
10063,South America,2013,47.609104,39.025402
10064,South America,2014,48.16011,39.152832
10065,South America,2015,48.155163,38.374767
10066,South America,2016,47.074528,38.539036
10067,South America,2017,47.52337,39.282825
10068,South America,2018,49.285286,39.24199
10069,South America,2019,49.60136,38.022568
10070,South America,2020,49.332405,38.617
