code,product,food subgroup,lci name,preparation,agriculture,transformation,packaging,transport,supermarket_distribution,consumption,total
36002,chicken,raw meats,"chicken, leg, meat and skin, raw",no preparation,5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.9792327610000005
36023,chicken,raw meats,"chicken, wing, meat and skin, raw",no preparation,5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.9792327610000005
36008,chicken,raw meats,"chicken, free-range, meat and skin, raw",no preparation,5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.9792327610000005
36020,chicken,raw meats,"chicken, eviscerated without offal, raw",no preparation,5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.9792327610000005
36007,chicken,raw meats,"chicken, white race, meat and skin, raw",no preparation,5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.9792327610000005
36014,chicken,raw meats,"chicken, stewing, leg, raw",no preparation,5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.9792327610000005
40700,chicken,raw meats,"gizzard, chicken, raw",no preparation,1.1045307,0.21974541,0.27564225,0.20089325,0.036974137,0.0066875618,1.8444733088
40111,chicken,raw meats,"liver, chicken, raw",no preparation,1.1045307,0.21974541,0.27564225,0.20089325,0.036974137,0.0066875618,1.8444733088
36016,chicken,raw meats,"chicken, meat and skin, raw",no preparation,4.1425839,0.82416344,0.27564225,0.23303866,0.036974137,0.0066875618,5.519089948799999
36003,chicken,raw meats,"chicken, meat, raw",no preparation,4.1425839,0.82416344,0.27564225,0.23303866,0.036974137,0.0066875618,5.519089948799999
26079,fish,raw fish,"common anchovy, raw",no preparation,0.92334433,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,2.1482050888
26206,fish,raw fish,"mediterranean bass, raw, farmed",no preparation,11.359006,0.0,0.27564225,1.0022641,0.036974137,0.0066875618,12.6805740488
26205,fish,raw fish,"mediterranean bass, raw, wild",no preparation,7.722585,0.0,0.27564225,1.0022641,0.036974137,0.0066875618,9.044153048799998
26072,fish,raw fish,"european bass, raw",no preparation,11.359006,0.0,0.27564225,1.0022641,0.036974137,0.0066875618,12.6805740488
26075,fish,raw fish,"atlantic bass, raw",no preparation,11.359006,0.0,0.27564225,1.0022641,0.036974137,0.0066875618,12.6805740488
26001,fish,raw fish,"american bass, raw",no preparation,11.359006,0.0,0.27564225,1.0022641,0.036974137,0.0066875618,12.6805740488
26100,fish,raw fish,"bogue, raw",no preparation,0.28644409,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,1.5113048488
26101,fish,raw fish,"bonito, raw",no preparation,7.2913297,0.0,0.27564225,0.78735897,0.036974137,0.0066875618,8.3979926188
26170,fish,raw fish,"freshwater bream, raw",no preparation,11.359006,0.0,0.27564225,1.0022644,0.036974137,0.0066875618,12.6805743488
26043,fish,raw fish,"cod, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26108,fish,raw fish,"capelin, raw",no preparation,7.2913297,0.0,0.27564225,0.78735897,0.036974137,0.0066875618,8.3979926188
26157,fish,raw fish,"crevalle jack, raw",no preparation,3.1435678,0.0,0.27564225,0.78735897,0.036974137,0.0066875618,4.250230718799999
26084,fish,raw fish,"megrim, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
27003,fish,raw fish,"carp, raw, farmed",no preparation,5.4155702,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,6.6404309588
26236,fish,raw fish,"horse mackerel, oily (autumn, winter), raw",no preparation,1.0572894,0.0,0.27564225,0.87690279,0.036974137,0.0066875618,2.2534961388
26235,fish,raw fish,"horse mackerel, lean (spring, summer), raw",no preparation,1.0572894,0.0,0.27564225,0.87690279,0.036974137,0.0066875618,2.2534961388
26113,fish,raw fish,"horse mackerel, raw",no preparation,1.0572894,0.0,0.27564225,0.87690279,0.036974137,0.0066875618,2.2534961388
26127,fish,raw fish,"conger, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26107,fish,raw fish,"brown meagre, raw",no preparation,3.1435678,0.0,0.27564225,0.78735897,0.036974137,0.0066875618,4.250230718799999
26159,fish,raw fish,"bigeye scad, raw",no preparation,1.0572894,0.0,0.27564225,0.87690279,0.036974137,0.0066875618,2.2534961388
