code,SOURCE,GROUP,PRODUCT,AGRICULTURE,TRANSFORMATION,PACKAGING,TRANSPORT,SUPERMARKET AND DISTRIBUTION,CONSUMPTION,TOTAL IMPACT,LEVEL
28300,pork,raw meats,"pork, roast, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054,2
28002,pork,raw meats,"pork, belly, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054,2
28479,pork,raw meats,"pork, belly, flank removed, raw",5.587654,0.27620305,0.27564225,0.20468657,0.036974137,0.006687562,6.387847569,1
28100,pork,raw meats,"pork, chop, raw",8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.49941043,2
28477,pork,raw meats,"pork, shoulder upper half, without rind, fat and bone, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054,2
28476,pork,raw meats,"pork, 80/20 trimming, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054,2
28003,pork,raw meats,"pork loin, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054,2
28004,pork,raw meats,"pork, knuckle or shank, raw",8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.49941043,2
28474,pork,raw meats,"pork, knuckle oh ham, without rind, fat and bone, raw",8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.49941043,2
28473,pork,raw meats,"pork, way leg, without rind, fat and bone, raw",10.950817,1.148702,0.58060782,0.26684649,0.046217671,0.08872985,13.08192083,2
28472,pork,raw meats,"pork, shoulder lower half, without rind, fat and bone, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054,2
28471,pork,raw meats,"pork, jowl, rindless, raw",5.587654,0.27620305,0.27564225,0.20468657,0.036974137,0.006687562,6.387847569,1
28201,pork,raw meats,"pork tenderloin, lean, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054,2
28204,pork,raw meats,"pork filet mignon, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054,2
28104,pork,raw meats,"pork, rack, raw",8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.49941043,2
28001,pork,raw meats,"pork, shoulder, raw",7.008523,0.69545867,0.3789656,0.20862301,0.036974137,0.006687562,8.335231979,2
28475,pork,raw meats,"pork, 90/10 trimming, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054,2
28460,pork,raw meats,"pork, ham escalope, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054,2
28963,chicken,deli meats,"chicken cooked ham, in slices",5.1782299,1.0798426,0.27564225,0.24399676,0.036974137,0.006687562,6.821373209,1
40054,chicken,raw meats,"heart, chicken, raw",1.1045307,0.21974541,0.27564225,0.20089325,0.036974137,0.006687562,1.844473309,1
36029,chicken,raw meats,"chicken, breast, meat and skin, raw",5.1782298,1.0798426,0.27564225,0.24399676,0.036974137,0.006687562,6.821373109,1
36022,chicken,raw meats,"chicken, drumstick, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761,1
36019,chicken,raw meats,"chicken high leg, meat, raw",5.1782299,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232861,1
36017,chicken,raw meats,"chicken, breast, without skin, raw",5.1782298,1.0798426,0.27564225,0.24399676,0.036974137,0.006687562,6.821373109,1
36024,chicken,raw meats,"chicken, leg, meat, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761,1
36002,chicken,raw meats,"chicken, leg, meat and skin, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761,1
36023,chicken,raw meats,"chicken, wing, meat and skin, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761,1
36008,chicken,raw meats,"chicken, free-range, meat and skin, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761,1
36020,chicken,raw meats,"chicken, eviscerated without offal, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761,1
36007,chicken,raw meats,"chicken, white race, meat and skin, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761,1
36014,chicken,raw meats,"chicken, stewing, leg, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761,1
40700,chicken,raw meats,"gizzard, chicken, raw",1.1045307,0.21974541,0.27564225,0.20089325,0.036974137,0.006687562,1.844473309,1
40111,chicken,raw meats,"liver, chicken, raw",1.1045307,0.21974541,0.27564225,0.20089325,0.036974137,0.006687562,1.844473309,1
36016,chicken,raw meats,"chicken, meat and skin, raw",4.1425839,0.82416344,0.27564225,0.23303866,0.036974137,0.006687562,5.519089949,1
